Name,Category,Subcategory,Logo URL,Pricing,Direct Link,Description,Design Tools,Platform,Technologies
Chakra,Design-Systems,Component-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Chakra-Logo.png,Freemium,https://chakra-ui.com, Design system framework with free component libraries for React and Figma,Figma,Web,"Figma,React"
Material UI,Design-Systems,Component-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Material-UI-Logo.png,Freemium,https://mui.com,Large open source framework with free React librar and paid library for Figma,Figma,Web,"Figma,React"
Bulma,Design-Systems,Component-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Bulma-Logo.png,Free,https://bulma.io,Figma library created for the Bulma CSS framework,Figma,Web,"Figma,React,Vue,Angular,Other"
Flowbite,Design-Systems,Component-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Flowbite-Logo.png,Freemium,https://flowbite.com,"Large component library based on Tailwind that supports a number of technologies such as React, Vue, Angular... with design asssets in Figma",Figma,Web,"Figma,React,Vue,Angular,Next.js,Laravel,Symfony,Other"
Material design UI Kit,Design-Systems,Component-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Material-Design-Logo.png,Free,https://m3.material.io,Material design documentation including the official Figma library,Figma,"Web,Mobile apps","Figma,Other"
Cherry,Design-Systems,Component-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/CherryDesignSystem-Logo.png,Free,https://cherry.design,Design system focused on WordPress with free Figma Assets,Figma,Web,"Figma,React,Other"
Next UI,Design-Systems,Component-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/NextUI-Logo.png,Free,https://nextui.org,Visually impressive UI library for Next with Figma documents,Figma,Web,"Figma,Other"
Bootstrap 5 UI KIT,Design-Systems,Component-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Bootstrap-Logo.png,Free,https://www.figma.com/community/file/876022745968684318/Bootstrap-UI-Kit,High quality Figma library for Bootstrap,Figma,Web,Figma
Apple Design Resources – iOS 17 and iPadOS 17,Design-Systems,Component-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Apple-Logo.png,Free,https://www.figma.com/community/file/1121065701252736567/iOS-16-UI-Kit-for-Figma,Official comprehensive Figma UI library for iOS 17 and iPadOS 17,Figma,Mobile apps,Figma
Android UI Kit,Design-Systems,Component-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Material-Design-Logo.png,Free,https://www.figma.com/community/file/1237551184114564748,The official UI library for Android apps from Material Design,Figma,Mobile apps,Figma
Untitled UI,Design-Systems,Component-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/UntitledUI-Logo.png,Freemium,https://www.untitledui.com/pricing,Large UI kit for Figma,Figma,Web,Figma
