Name,Category Primary,Subcategory,Logo URL,Pricing,Direct Link,Number of icons,Figma Plugin,Figma File,Dev Friendly,Animated
Phospor icons,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Phospor-Logo.png,Free,https://phosphoricons.com,7000+,Yes,Yes,Yes,No
Material icons,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Material-Icons-Logo.png,Free,https://fonts.google.com/icons,3000+,Yes,No,Yes,No
Tabler icons,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Tabler-Logo.png,Free,https://tabler-icons.io,4000+,Yes,No,Yes,No
Glyphs,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Glyphs-Logo.png,Free,https://glyphs.fyi,6000+,No,Yes,Yes,No
Atlas icons,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Atlas-Icons-Logo.png,Free,https://atlasicons.vectopus.com,2000+,Yes,No,Yes,No
Remixicon,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Remixicons-Logo.jpeg,Free,https://remixicon.com,2000+,Yes,No,Yes,No
Iconify,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Iconify-Logo.png,Free,https://www.figma.com/community/plugin/735098390272716381/Iconify,"100,000+",Yes,No,No,No
Unicode Characters,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/UnicodelLogo.png,Free,https://www.vertex42.com/ExcelTips/unicode-symbols.html,"100,000+",No,No,No,No
Lucide,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/LucideIcons-Logo.png,Free,https://lucide.dev,1000+,No,No,No,Yes
Openmoji,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Openmoji-Logo.png,Free,https://openmoji.org,3000+,No,No,Yes,No
Unicorn Icons,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/UnicorniIcons-Logo.png,Free,https://unicornicons.com,100+,No,No,No,Yes
Streamline,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/StreamlineIcons-Logo.png,Freemium,https://streamlinehq.com,"100,000+",Yes,Yes,Yes,No
Icons 8,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Icons8-Logo.png,Freemium,https://icons8.com/icons/group-ui,"100,000+",Yes,Yes,Yes,No
Majesticons,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Majesticons-Logo.png,Freemium,https://www.majesticons.com,7000+,No,Yes,Yes,No
Pixelart Icons,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/PixelartIcons-Logo.png,Freemium,https://pixelarticons.com,1000+,No,Yes,Yes,No
Pikaicons,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/PikaIcons-Logo.jpeg,Freemium,https://pikaicons.com,1000+,No,Yes,Yes,No
Lord Icons,Design-Systems,Icon-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/LordIcons-Logo.png,Freemium,https://lordicon.com,"10,000+",No,Yes,Yes,Yes
